title, artist, id, url, length
"Connected: An Autoblogography about Love, Death and Technology","Tiffany Shlain","592336588","https://itunes.apple.com/us/movie/connected-autoblogography-about-love-death-technology/id592336588?uo=4",80
"Love N' Dancing","Robert Iscove","328037609","https://itunes.apple.com/us/movie/love-n-dancing/id328037609?uo=4",95
"We Love Our Friends (Nickelodeon)","Scott Schultz, George Chialtas, Allan Jacobsen, Jennifer Oxley, Dave Marshall & Alice Wilder","485223908","https://itunes.apple.com/us/movie/we-love-our-friends-nickelodeon/id485223908?uo=4",144
"Quantum Love (Une rencontre)","Unknown","996780068","https://itunes.apple.com/us/movie/quantum-love-une-rencontre/id996780068?uo=4",81
"God Loves Uganda","Roger Ross Williams","839717431","https://itunes.apple.com/us/movie/god-loves-uganda/id839717431?uo=4",83
"Monty Python Live (Mostly) – One Down Five to Go","Aubrey Powell","919957431","https://itunes.apple.com/us/movie/monty-python-live-mostly-one-down-five-to-go/id919957431?uo=4",136
"Love Paleo","Caroleen Moise","1056881616","https://itunes.apple.com/us/movie/love-paleo/id1056881616?uo=4",93
"The Thing Called Love","Peter Bogdanovich","305340432","https://itunes.apple.com/us/movie/the-thing-called-love/id305340432?uo=4",114
"Russell Peters: The Green Card Tour – Live from the O2 Arena","David Higby","607501825","https://itunes.apple.com/us/movie/russell-peters-the-green-card-tour-live-from-the-o2-arena/id607501825?uo=4",57
"2017 Oscar Nominated Shorts Films - Live Action","Selim Azzazi, Aske Bang, Timo von Gunten, Kristóf Deák & Juanjo Giménez Peña","1203925776","https://itunes.apple.com/us/movie/2017-oscar-nominated-shorts-films-live-action/id1203925776?uo=4",134
"Foo Fighters: Live from Wembley Stadium","Foo Fighters","656360211","https://itunes.apple.com/us/movie/foo-fighters-live-from-wembley-stadium/id656360211?uo=4",118
"Phil Collins Live At Montreux 2004","Phil Collins","509097779","https://itunes.apple.com/us/movie/phil-collins-live-at-montreux-2004/id509097779?uo=4",137
"Santana: Live At Montreux 2011","Santana","499543975","https://itunes.apple.com/us/movie/santana-live-at-montreux-2011/id499543975?uo=4",167
"Addicted to Love","Griffin Dunne","284933118","https://itunes.apple.com/us/movie/addicted-to-love/id284933118?uo=4",100
"Michael Jackson Live At Wembley July 16, 1988","Michael Jackson","555899378","https://itunes.apple.com/us/movie/michael-jackson-live-at-wembley-july-16-1988/id555899378?uo=4",135
"Coldplay: Live 2012","Coldplay","734123520","https://itunes.apple.com/us/movie/coldplay-live-2012/id734123520?uo=4",96
"Love Affair (1994)","Glenn Gordon Caron","412414032","https://itunes.apple.com/us/movie/love-affair-1994/id412414032?uo=4",107
"All the Boys Love Mandy Lane","Jonathan Levine","695557064","https://itunes.apple.com/us/movie/all-the-boys-love-mandy-lane/id695557064?uo=4",90
"Let's Make Love","George Cukor","296774305","https://itunes.apple.com/us/movie/lets-make-love/id296774305?uo=4",118
"Nirvana - Live At the Paramount","Nirvana","462585337","https://itunes.apple.com/us/movie/nirvana-live-at-the-paramount/id462585337?uo=4",71
"Carrie Underwood: The Blown Away Tour - LIVE","Carrie Underwood","674861323","https://itunes.apple.com/us/movie/carrie-underwood-the-blown-away-tour-live/id674861323?uo=4",119
"Secret World Live","Peter Gabriel","539881560","https://itunes.apple.com/us/movie/secret-world-live/id539881560?uo=4",102
"It Felt Like Love","Eliza Hittman","881288429","https://itunes.apple.com/us/movie/it-felt-like-love/id881288429?uo=4",82
"Sting: Live In Berlin","Sting","405087790","https://itunes.apple.com/us/movie/sting-live-in-berlin/id405087790?uo=4",124
"Yo Gabba Gabba Live! There's a Party in My City!","Christian Jacobs & Scott Schultz","508188810","https://itunes.apple.com/us/movie/yo-gabba-gabba-live-theres-a-party-in-my-city/id508188810?uo=4",59
"Crazy Love","Dan Klores","279267533","https://itunes.apple.com/us/movie/crazy-love/id279267533?uo=4",91
"Tyler Perry's Madea's Tough Love","Frank Marino","947140608","https://itunes.apple.com/us/movie/tyler-perrys-madeas-tough-love/id947140608?uo=4",64
"Marilyn Manson: Guns, God and Government - Live In L.A.","Marilyn Manson","364194199","https://itunes.apple.com/us/movie/marilyn-manson-guns-god-and-government-live-in-l-a/id364194199?uo=4",72
"Dorfman in Love","Bradley Leong","627987167","https://itunes.apple.com/us/movie/dorfman-in-love/id627987167?uo=4",91
"Michael Jackson - Live in Bucharest: The Dangerous Tour","Michael Jackson","646059478","https://itunes.apple.com/us/movie/michael-jackson-live-in-bucharest-the-dangerous-tour/id646059478?uo=4",122
"Wilco: Live - Ashes of American Flags","Wilco","310944118","https://itunes.apple.com/us/movie/wilco-live-ashes-of-american-flags/id310944118?uo=4",87
"Love In Portofino","Andrea Bocelli","732376978","https://itunes.apple.com/us/movie/love-in-portofino/id732376978?uo=4",47
"Eric Clapton & Steve Winwood: Live from Madison Square Garden","Eric Clapton","315002468","https://itunes.apple.com/us/movie/eric-clapton-steve-winwood-live-from-madison-square-garden/id315002468?uo=4",139
"Billy Joel: Live At Shea Stadium","Billy Joel","601453714","https://itunes.apple.com/us/movie/billy-joel-live-at-shea-stadium/id601453714?uo=4",140
"Barney: I Love My Friends","Fred Holmes & Jim Rowley","921390254","https://itunes.apple.com/us/movie/barney-i-love-my-friends/id921390254?uo=4",57
"Peter Gabriel: New Blood - Live in London","Peter Gabriel","469071405","https://itunes.apple.com/us/movie/peter-gabriel-new-blood-live-in-london/id469071405?uo=4",141
"In Love and War (1996)","Richard Attenborough","310456219","https://itunes.apple.com/us/movie/in-love-and-war-1996/id310456219?uo=4",113
"Lisa Lampanelli: Long Live the Queen","Lisa Lampanelli","312622020","https://itunes.apple.com/us/movie/lisa-lampanelli-long-live-the-queen/id312622020?uo=4",70
"Why Do Fools Fall In Love","Gregory Nava","273063620","https://itunes.apple.com/us/movie/why-do-fools-fall-in-love/id273063620?uo=4",115
"Sara Bareilles: Brave Enough - Live at the Variety Playhouse","Sara Bareilles","715205006","https://itunes.apple.com/us/movie/sara-bareilles-brave-enough-live-at-the-variety-playhouse/id715205006?uo=4",85
"Love & Terror On the Howling Plains of Nowhere","Dave Jannetta","953363909","https://itunes.apple.com/us/movie/love-terror-on-the-howling-plains-of-nowhere/id953363909?uo=4",103
"Katy Perry: The Prismatic World Tour Live","Katy Perry","1030985292","https://itunes.apple.com/us/movie/katy-perry-the-prismatic-world-tour-live/id1030985292?uo=4",116
"Styx - The Grand Illusion/Pieces of Eight","Styx","493168750","https://itunes.apple.com/us/movie/styx-the-grand-illusion-pieces-of-eight-live/id493168750?uo=4",101
"Love Crime","Alain Corneau","489678615","https://itunes.apple.com/us/movie/love-crime/id489678615?uo=4",106
"Rush: R40 Live","Rush","1088563988","https://itunes.apple.com/us/movie/rush-r40-live/id1088563988?uo=4",161
"Looking Back On Love: Making Black and White America","Mathieu Bitton","592705699","https://itunes.apple.com/us/movie/looking-back-on-love-making-black-and-white-america/id592705699?uo=4",75
"Love and Death","Unknown","589667983","https://itunes.apple.com/us/movie/love-and-death/id589667983?uo=4",85
"Mes amis, mes amours (My Friends, My Loves)","Lorraine Levy","460864772","https://itunes.apple.com/us/movie/mes-amis-mes-amours-my-friends-my-loves/id460864772?uo=4",94
"The Rolling Stones: Some Girls - Live In Texas '78","The Rolling Stones","478540094","https://itunes.apple.com/us/movie/the-rolling-stones-some-girls-live-in-texas-78/id478540094?uo=4",85
"Jill Scott: Live At House of Blues, Sunset Strip","Jill Scott","465857990","https://itunes.apple.com/us/movie/jill-scott-live-at-house-blues-sunset-strip-live-nation/id465857990?uo=4",34
"Owl City: Live from Los Angeles","Owl City","479115367","https://itunes.apple.com/us/movie/owl-city-live-from-los-angeles/id479115367?uo=4",94
"Love Hurts","Barra Grant","411614666","https://itunes.apple.com/us/movie/love-hurts/id411614666?uo=4",94
"Richard Pryor Live & Smokin'","Michael Blum","324255219","https://itunes.apple.com/us/movie/richard-pryor-live-smokin/id324255219?uo=4",45
"Joe Bonamassa Live From the Royal Albert Hall","Joe Bonamassa","906260029","https://itunes.apple.com/us/movie/joe-bonamassa-live-from-the-royal-albert-hall/id906260029?uo=4",132
"Eric Clapton - Slowhand at 70: Live At the Royal Albert Hall","Eric Clapton","1045893939","https://itunes.apple.com/us/movie/eric-clapton-slowhand-at-70-live-at-the-royal-albert-hall/id1045893939?uo=4",106
"Mötley Crüe: The End - Live In Los Angeles","Mötley Crüe","1148806079","https://itunes.apple.com/us/movie/m%C3%B6tley-cr%C3%BCe-the-end-live-in-los-angeles/id1148806079?uo=4",107
"Live Flesh","Pedro Almodóvar","1132539466","https://itunes.apple.com/us/movie/live-flesh/id1132539466?uo=4",101
"Anatomy of a Love Seen","Marina Rice Bader","922486246","https://itunes.apple.com/us/movie/anatomy-of-a-love-seen/id922486246?uo=4",80
"Goodbye First Love","Mia Hansen-Løve","550167214","https://itunes.apple.com/us/movie/goodbye-first-love/id550167214?uo=4",110
"Queen: Hungarian Rhapsody - Live in Budapest","Queen","570768292","https://itunes.apple.com/us/movie/queen-hungarian-rhapsody-live-in-budapest/id570768292?uo=4",91
"Love At First Fight","Thomas Cailley","1031400758","https://itunes.apple.com/us/movie/love-at-first-fight/id1031400758?uo=4",98
"Whitney Houston Live: Her Greatest Performances","Whitney Houston","929804790","https://itunes.apple.com/us/movie/whitney-houston-live-her-greatest-performances/id929804790?uo=4",102
"The Doors: Live at The Bowl '68","The Doors","573418741","https://itunes.apple.com/us/movie/the-doors-live-at-the-bowl-68/id573418741?uo=4",71
"To Joey, With Love","Rory Feek","1227344267","https://itunes.apple.com/us/movie/to-joey-with-love/id1227344267?uo=4",89
"Nine Inch Nails Live: Beside You In Time","Nine Inch Nails","515405782","https://itunes.apple.com/us/movie/nine-inch-nails-live-beside-you-in-time/id515405782?uo=4",92
"A Thin Line Between Love & Hate","Martin Lawrence","885803693","https://itunes.apple.com/us/movie/a-thin-line-between-love-hate/id885803693?uo=4",108
"Toto: Falling In Between - Live","Toto","387062064","https://itunes.apple.com/us/movie/toto-falling-in-between-live/id387062064?uo=4",112
